ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
1,0.99,-0.05,0.01,-3.08,-0.07,0.26,1337
2,0.99,-0.05,0.01,-2.73,-0.06,0.25,1389
3,0.99,-0.05,0.01,-2.68,-0.07,0.24,1402
4,0.99,-0.05,0.01,-2.85,-0.08,0.27,1350
5,0.99,-0.05,0.01,-3.0,-0.09,0.26,1401
6,0.99,-0.05,0.01,-2.95,-0.07,0.25,1521
7,0.99,-0.05,0.01,-3.16,-0.12,0.24,1592
8,0.99,-0.05,0.01,-2.85,-0.05,0.23,1583
9,0.99,-0.05,0.01,-3.07,-0.07,0.24,1588
10,0.99,-0.05,0.01,-2.64,-0.07,0.24,1616
11,0.99,-0.05,0.01,-2.62,-0.08,0.24,1665
12,0.99,-0.05,0.01,-2.42,-0.11,0.25,1732
13,0.99,-0.05,0.01,-2.54,-0.12,0.24,1758
14,0.99,-0.05,0.01,-3.48,-0.08,0.22,1841
15,0.99,-0.05,0.01,-3.34,-0.07,0.24,1826
16,0.99,-0.05,0.01,-3.52,-0.06,0.23,1802
17,0.99,-0.05,0.01,-2.29,-0.06,0.01,1885
18,0.99,-0.05,0.01,-2.3,-0.06,0.12,1924
19,0.99,-0.05,0.01,-2.3,-0.04,0.28,1965
20,0.99,-0.05,0.01,-2.44,-0.06,0.12,1986
21,0.99,-0.05,0.01,-2.51,-0.06,0.31,2050
22,0.99,-0.05,0.01,-2.55,-0.03,0.2,2097
23,0.99,-0.05,0.01,-2.63,-0.07,0.1,2109
24,0.99,-0.04,0.01,-2.61,-0.01,-1.88,2093
25,0.99,-0.05,0.01,-2.58,-0.02,-3.4,2482
26,0.99,-0.02,0.01,-2.41,-0.0,-3.96,2537
27,1.02,0.15,0.02,-0.5,0.95,-71.65,3066
28,0.98,0.02,0.01,-1.53,0.24,-40.95,8579
29,0.97,0.18,0.01,-2.64,0.12,-6.36,7372
30,0.97,0.19,0.01,-2.53,0.07,-8.21,6067
31,0.97,0.21,0.01,-2.47,0.13,-11.6,10140
32,0.96,0.24,0.01,-2.25,0.18,-15.95,12644
33,0.96,0.27,0.01,-2.19,0.24,-19.99,13772
34,0.94,0.33,0.01,-1.64,0.42,-34.85,14052
35,0.92,0.36,0.01,-1.73,0.36,-30.42,15928
36,0.9,0.43,0.01,-1.68,0.46,-36.31,17600
37,0.87,0.49,0.0,-1.01,0.57,-42.11,19471
38,0.83,0.56,0.0,-0.94,0.59,-47.94,22034
39,0.77,0.64,-0.01,-0.64,0.45,-54.04,24383
40,0.71,0.71,-0.02,-0.43,0.34,-60.21,26907
41,0.63,0.79,-0.03,-0.17,0.54,-66.43,29786
42,0.53,0.86,-0.04,-0.04,0.81,-73.39,32903
43,0.41,0.92,-0.06,0.23,1.25,-79.93,35706
44,0.26,0.97,-0.08,0.53,0.95,-87.6,38475
45,0.1,1.0,-0.1,0.28,1.06,-96.19,40959
46,-0.07,1.0,-0.12,0.44,0.9,-105.81,42857
47,-0.26,0.96,-0.15,0.63,1.2,-115.48,44073
48,-0.45,0.88,-0.18,1.04,1.84,-124.31,44277
49,-0.63,0.74,-0.2,1.19,1.55,-132.63,43240
50,-0.78,0.56,-0.23,1.43,1.32,-140.65,40551
51,-0.88,0.33,-0.24,1.8,1.57,-148.18,36006
52,-0.93,0.06,-0.26,1.99,2.06,-154.59,29481
53,-0.91,-0.22,-0.26,2.08,2.01,-159.39,20942
54,-0.79,-0.49,-0.25,2.28,1.4,-164.13,10834
55,-0.6,-0.73,-0.22,2.42,2.1,-169.06,576
56,-0.34,-0.9,-0.19,2.56,1.84,-176.91,-9376
57,-0.02,-0.98,-0.14,2.93,1.81,-185.3,-18412
58,0.31,-0.96,-0.1,3.16,2.51,-195.6,-30028
59,0.65,-0.81,-0.05,3.46,1.95,-207.5,-30601
60,0.93,-0.54,-0.01,4.12,2.91,-220.88,-27202
61,1.09,-0.17,0.02,4.5,2.9,-232.76,-19226
62,1.08,0.25,0.03,4.8,3.14,-242.35,-7587
63,0.89,0.64,0.01,4.77,2.94,-249.96,7315
64,0.54,0.91,-0.04,5.37,3.1,-250.75,22584
