ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
1,0.92,0.0,0.0,-59.95,2.64,0.43,2779
2,0.93,-0.0,-0.0,-59.98,2.65,0.43,2796
3,0.92,-0.0,0.0,-58.53,2.59,0.31,2788
4,0.92,-0.01,0.01,-60.07,2.72,0.24,2848
5,0.93,-0.01,0.0,-58.79,2.67,0.4,2856
6,0.93,-0.0,0.01,-69.86,2.63,0.43,2814
7,0.92,-0.0,-0.0,-70.04,2.56,0.35,2755
8,0.93,-0.01,0.0,-51.96,2.69,0.36,2833
9,0.93,0.0,-0.0,-70.44,2.75,0.51,2899
10,0.93,-0.01,-0.0,-69.92,2.56,0.44,2887
11,0.92,-0.0,0.0,-59.56,2.44,0.35,2856
12,0.92,0.0,0.0,-59.4,2.82,0.26,2815
13,0.92,-0.0,-0.0,-59.66,2.71,0.44,2804
14,0.92,-0.0,0.0,-61.23,2.56,0.27,2807
15,0.93,-0.0,-0.0,-59.24,2.66,0.25,2876
16,0.93,-0.01,0.01,-58.76,2.57,0.4,2924
17,0.92,-0.0,-0.0,-58.67,2.59,0.44,2877
18,0.92,-0.0,0.01,-58.56,2.57,0.32,2944
19,0.93,-0.01,0.0,-58.56,2.51,0.46,2935
20,0.92,0.0,-0.0,-58.93,2.64,0.42,2924
21,0.92,-0.0,-0.0,-58.6,2.56,0.45,2979
22,0.92,-0.0,0.0,-58.19,2.58,0.5,2957
23,0.92,0.0,0.0,-58.63,2.35,0.43,2888
24,0.93,-0.01,-0.0,-58.76,2.52,0.34,2919
25,0.92,0.0,0.01,-59.26,2.76,0.6,3008
26,0.92,-0.01,0.0,-58.95,2.68,0.32,3031
27,0.93,-0.0,0.0,-59.06,2.65,0.45,2976
28,0.93,-0.0,0.01,-59.05,3.05,0.74,2963
29,0.92,-0.0,0.01,-58.52,2.81,0.32,2699
30,0.92,0.01,0.01,-59.02,2.55,0.44,396
31,0.92,-0.0,-0.0,-58.92,2.76,0.48,222
32,0.92,-0.0,-0.0,-59.37,2.85,0.42,2523
33,0.93,-0.01,-0.0,-58.83,2.5,-0.15,1205
34,0.94,0.0,0.0,-58.92,2.84,0.55,-3331
35,0.92,-0.0,0.01,-59.27,2.53,0.68,-7081
36,0.93,-0.0,-0.0,-59.0,2.61,0.4,-25519
37,0.92,0.0,0.01,-59.31,2.66,0.34,-27094
38,0.92,-0.0,-0.0,-59.18,2.61,0.51,-9400
39,0.93,-0.0,0.01,-59.31,2.64,0.28,-2023
40,0.93,0.0,-0.01,-59.03,2.5,0.42,1952
41,0.92,-0.0,0.0,-59.21,2.6,0.25,2771
42,0.92,-0.0,-0.0,-59.11,2.79,0.42,-3158
43,0.92,0.01,-0.01,-59.17,2.74,0.17,-14927
44,0.93,-0.0,0.0,-59.4,2.68,-0.37,-26390
45,0.92,0.05,-0.01,-58.95,2.82,-9.76,-41701
46,0.93,0.01,0.01,-59.18,2.92,-3.53,-60664
47,0.92,0.03,0.0,-59.03,3.35,-7.47,-107743
48,0.92,0.05,0.01,-58.69,2.87,-13.57,-214163
49,0.92,0.1,0.01,-58.63,3.11,-24.66,-339057
50,0.92,0.15,0.0,-57.98,3.36,-36.47,-447509
51,0.9,0.22,0.0,-57.64,3.76,-49.18,-498746
52,0.87,0.33,0.0,-57.67,3.63,-62.89,-517920
53,0.83,0.45,-0.02,-56.79,3.46,-77.22,-530159
54,0.78,0.58,-0.01,-56.21,4.93,-91.49,-554674
55,0.65,0.71,-0.03,-56.01,4.13,-104.42,-579995
56,0.51,0.81,-0.02,-55.45,3.63,-115.9,-564953
57,0.31,0.95,-0.07,-55.35,4.01,-126.02,-525670
58,0.12,0.97,-0.11,-55.59,4.63,-132.76,-489600
59,-0.15,1.01,-0.14,-55.08,4.67,-141.5,-455357
60,-0.39,0.86,-0.14,-54.62,6.73,-144.94,-414830
61,-0.64,0.76,-0.21,-54.82,4.95,-149.74,-327320
62,-0.82,0.58,-0.25,-55.16,4.96,-150.72,-267345
63,-0.91,0.34,-0.22,-54.7,5.25,-151.01,-216584
64,-1.02,0.06,-0.28,-54.44,4.44,-150.67,-179172
65,-0.98,-0.23,-0.25,-54.62,5.85,-150.92,-156458
66,-0.89,-0.5,-0.29,-54.1,4.34,-152.27,-153626
67,-0.72,-0.71,-0.26,-54.34,5.22,-154.29,-178671
68,-0.47,-0.87,-0.21,-54.02,4.92,-156.32,-225094
69,-0.23,-0.96,-0.16,-54.18,4.71,-157.66,-256716
70,0.05,-1.04,-0.15,-54.19,4.87,-159.04,-270965
71,0.35,-1.0,-0.09,-54.11,5.34,-161.5,-265449
72,0.61,-0.82,-0.1,-53.56,4.7,-162.47,-248374
73,0.79,-0.56,-0.04,-53.61,5.56,-162.61,-245152
