ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
1,0.98,0.13,0.01,0.66,0.08,0.2,13829
2,0.98,0.13,0.02,0.75,0.1,0.18,13859
3,0.98,0.13,0.02,0.54,0.04,0.2,13899
4,0.98,0.13,0.02,0.59,0.08,0.21,13808
5,0.98,0.13,0.02,0.55,0.23,0.17,13838
6,0.98,0.13,0.02,0.59,0.04,0.19,13837
7,0.98,0.13,0.02,0.67,0.08,0.17,13834
8,0.98,0.13,0.02,0.7,0.06,0.2,13868
9,0.98,0.13,0.02,0.77,-0.19,0.23,13876
10,0.98,0.13,0.02,0.77,-0.37,0.21,13823
11,0.98,0.13,0.01,0.76,-0.49,0.23,13879
12,0.98,0.13,0.01,0.72,0.13,0.22,13877
13,0.98,0.13,0.01,0.76,0.4,0.17,13831
14,0.98,0.13,0.02,0.73,-0.15,-0.04,13843
15,0.98,0.13,0.01,0.76,-0.11,0.22,13778
16,0.98,0.13,0.01,0.95,-0.98,0.31,13147
17,0.98,0.13,0.02,0.82,1.48,-1.15,12747
18,0.99,0.07,0.01,-0.08,-2.05,30.7,12747
19,0.99,0.07,0.01,-0.39,-0.73,36.9,21266
20,0.99,0.03,0.01,0.47,-4.06,6.49,18743
21,0.99,0.01,0.0,0.84,0.74,-1.23,-3816
22,0.99,0.0,-0.01,0.83,-2.64,-1.49,-14479
23,0.99,-0.03,-0.0,0.58,-2.0,8.26,-43201
24,1.0,0.04,-0.0,0.42,-1.84,13.26,-57074
25,0.99,-0.07,-0.01,0.63,-2.03,9.51,-34657
26,0.99,-0.04,-0.01,0.87,-0.0,-8.54,-39557
27,1.0,-0.03,-0.01,0.84,-2.34,-0.01,-43047
28,1.0,-0.04,-0.03,0.98,-1.01,0.35,-80077
29,1.0,-0.02,-0.0,0.85,1.09,-0.95,-111597
30,1.0,-0.03,-0.02,0.81,-0.46,0.1,-95364
31,1.0,-0.03,-0.02,0.81,0.25,0.11,-102938
32,1.0,-0.03,0.0,0.85,1.88,0.85,-115704
33,0.99,-0.03,-0.02,1.06,0.22,-3.96,-124874
34,0.96,0.02,-0.0,1.04,1.59,-1.92,-155102
35,0.97,-0.08,0.0,0.4,2.68,8.64,-184324
36,0.99,-0.02,-0.0,1.09,1.09,-13.16,-146763
37,1.0,-0.0,-0.0,0.98,1.03,-6.3,-122194
38,0.99,0.03,0.0,1.46,3.23,-23.33,-148106
39,0.99,0.11,0.01,1.91,2.42,-34.4,-114959
40,0.99,0.18,0.01,2.8,0.88,-56.39,-42535
41,0.97,0.32,0.01,3.23,2.59,-83.62,76779
42,0.91,0.5,0.01,4.31,2.47,-119.38,369851
43,0.79,0.72,-0.0,6.01,2.02,-161.15,698230
44,0.56,0.9,-0.04,7.11,2.4,-196.18,929239
45,0.22,1.0,-0.09,7.48,2.47,-215.23,1349202
46,-0.16,0.94,-0.14,8.25,3.25,-230.73,1922629
47,-0.54,0.73,-0.19,8.25,3.48,-241.35,2325939
48,-0.78,0.36,-0.23,8.75,5.76,-246.01,2345165
49,-0.83,-0.08,-0.27,8.68,2.99,-250.69,953039
50,-0.65,-0.53,-0.24,9.67,1.54,-250.75,-253004
51,-0.3,-0.86,-0.18,9.49,2.4,-250.75,-1523622
52,0.18,-0.99,-0.13,9.23,2.92,-250.75,-2315387
53,0.67,-0.86,-0.05,9.42,2.25,-250.75,-2655901
54,1.01,-0.57,-0.02,9.22,2.98,-250.75,-2730859
55,1.05,-0.42,-0.0,6.13,2.13,-168.32,-2102946
56,1.0,-0.12,-0.01,-0.49,-1.02,57.67,-967070
57,0.99,-0.06,-0.01,1.14,-2.04,-8.96,-77748
58,0.99,-0.1,-0.01,0.52,-1.79,7.68,-5086
59,0.99,-0.12,-0.02,1.11,0.34,-8.81,-36442
60,0.97,-0.03,-0.01,0.97,1.02,-5.43,-24864
61,1.0,-0.13,-0.01,1.22,-0.89,-12.42,-41943
62,0.99,-0.07,-0.01,0.89,-0.0,3.79,-41047
63,0.99,-0.09,-0.01,0.71,0.44,4.56,-12982
64,0.99,-0.01,-0.01,0.86,-0.04,-1.79,-1147
65,0.99,-0.1,-0.01,1.04,0.12,-10.99,-9356
66,1.0,-0.06,-0.01,1.03,-1.0,-4.84,-28486
67,1.0,-0.07,-0.02,0.42,0.64,20.61,-37443
68,0.99,-0.07,-0.01,1.14,0.39,-10.75,-19684
69,0.99,-0.05,-0.01,0.6,0.92,8.93,-4014
70,0.99,-0.2,-0.01,-0.0,1.75,26.35,-17257
71,0.98,-0.13,-0.01,-0.57,2.07,50.68,-23451
72,0.97,-0.35,-0.01,-0.51,-1.15,62.94,-89208
73,1.03,-0.16,-0.02,3.48,-0.21,-11.18,-297857
74,0.95,-0.32,-0.01,2.68,1.81,-5.1,-572392
75,0.95,-0.24,-0.01,1.29,0.18,-11.46,-742340
76,0.97,-0.18,-0.01,2.88,-1.54,-61.76,-760792
77,1.0,-0.13,0.0,3.09,-4.98,-72.71,-735803
78,0.99,-0.07,-0.04,1.15,-1.26,-2.96,-296241
79,0.99,-0.06,0.01,1.25,2.03,-1.6,-18992
80,0.99,-0.01,-0.02,1.05,-1.94,6.62,32837
81,0.99,-0.04,-0.02,1.31,-0.27,-6.17,43844
82,0.99,-0.03,-0.01,0.99,-1.3,0.58,48834
83,1.0,-0.03,-0.03,0.93,-1.25,2.66,46878
84,1.0,-0.02,-0.02,1.03,-0.33,-0.72,57455
85,0.99,-0.03,-0.02,1.0,1.19,-0.03,74627
86,0.99,-0.03,-0.02,0.94,0.46,-0.42,69669
87,0.99,-0.03,-0.01,0.98,1.46,1.9,55841
88,1.0,-0.02,-0.02,1.09,-0.46,-3.4,48922
89,0.99,-0.03,-0.02,1.13,0.76,-1.27,48892
90,0.99,-0.03,-0.01,1.08,0.97,3.21,42373
91,0.99,-0.03,-0.0,1.12,-2.39,0.8,27107
92,1.02,-0.03,-0.02,0.99,0.99,9.66,32617
93,1.0,0.01,-0.02,1.96,-0.43,-28.98,46024
94,1.0,0.03,-0.03,1.27,4.39,-6.27,32663
95,0.99,0.02,0.01,1.47,3.41,-18.93,84107
96,0.99,0.07,-0.01,1.3,3.11,-13.2,137283
97,0.99,0.11,0.0,1.65,3.45,-22.2,172383
98,0.98,0.17,0.01,2.44,1.32,-37.61,172571
99,0.97,0.26,0.01,3.21,2.06,-57.63,179978
100,0.96,0.42,0.0,3.64,4.37,-88.8,285635
101,0.87,0.63,0.02,5.22,3.86,-145.66,516916
102,0.71,0.89,-0.0,8.61,1.77,-225.37,684375
103,0.34,1.05,-0.06,10.7,3.87,-250.75,792758
104,-0.17,0.89,-0.13,12.28,6.61,-250.75,1198606
105,-0.58,0.45,-0.2,12.59,7.92,-250.75,1693291
106,-0.63,-0.19,-0.24,12.91,7.03,-250.75,1816139
107,-0.1,-0.74,-0.16,14.87,5.1,-250.75,1154194
108,0.76,-0.97,-0.06,15.6,6.36,-250.75,-380519
109,1.39,-0.41,0.06,16.5,12.54,-250.75,-2107173
110,1.42,0.42,0.09,17.17,10.82,-250.75,-2341018
111,0.83,0.99,-0.01,18.56,6.57,-250.75,-324713
112,0.11,0.63,-0.11,19.25,8.69,-250.75,1110213
113,-0.09,-0.26,-0.14,19.73,10.34,-250.75,1654961
114,0.89,-0.88,-0.05,19.64,7.79,-250.75,196245
115,1.74,-0.47,0.09,21.27,15.92,-250.75,-2008995
116,1.67,0.59,0.08,21.55,13.1,-250.75,-2735968
117,0.71,0.89,0.01,23.0,11.52,-250.75,-492362
118,0.23,-0.09,-0.1,23.51,11.05,-250.75,1417518
119,1.24,-0.88,0.02,22.69,10.02,-250.75,1086187
120,1.96,-0.36,0.15,23.4,16.88,-250.75,-1062383
121,1.71,0.74,0.11,24.68,11.06,-250.75,-2286314
122,0.78,0.61,0.03,24.36,13.56,-250.75,-401281
123,0.95,-0.57,-0.05,25.96,15.69,-250.75,1616197
124,1.91,-0.72,0.13,24.99,10.54,-250.75,556739
125,1.93,0.5,0.15,26.86,20.5,-250.75,-1791165
126,1.19,0.73,0.04,26.72,9.66,-250.75,-1678044
127,0.93,-0.56,-0.01,27.07,16.4,-250.75,988755
128,1.93,-0.73,0.16,26.38,7.66,-250.75,1434886
129,1.98,0.48,0.17,27.24,18.49,-250.75,-881495
130,1.29,0.71,0.02,26.32,7.8,-250.75,-1354946
131,1.0,-0.62,0.02,27.07,18.14,-250.75,1168452
132,1.96,-0.7,0.15,26.81,8.09,-250.75,1785398
133,1.96,0.65,0.17,26.81,18.0,-250.75,-741288
134,1.2,0.5,0.07,26.99,10.26,-250.75,-1531718
135,1.22,-0.75,0.0,28.07,18.24,-250.75,885581
136,1.99,-0.6,0.22,26.7,8.52,-250.75,1656905
137,1.87,0.72,0.15,26.88,16.8,-250.75,-824724
138,0.73,0.33,-0.03,24.38,9.95,-250.75,-1622529
139,-0.4,-1.31,-0.2,10.28,9.36,-185.74,904037
140,-0.74,-0.64,-0.24,2.33,-1.52,-42.19,2040470
141,-0.65,-0.75,-0.23,4.03,0.85,-99.44,-38938
142,-0.59,-0.81,-0.23,1.78,-0.06,-18.24,-1856848
143,-0.55,-0.81,-0.22,2.07,1.08,-37.19,-2079455
144,-0.49,-0.91,-0.21,1.82,0.72,-25.22,-2046793
145,-0.48,-0.9,-0.21,0.83,-0.18,10.24,-2160100
146,-0.52,-0.96,-0.22,-0.63,-0.95,59.73,-2245878
147,-0.63,-0.77,-0.23,-3.25,-1.98,146.74,-2096738
148,-0.8,-0.49,-0.25,-3.22,-2.84,152.35,-1795826
149,-0.91,-0.24,-0.25,-2.73,-4.58,131.32,-1373110
150,-0.98,0.02,-0.26,-0.1,-2.57,44.87,-873642
151,-0.98,-0.1,-0.25,0.77,-0.99,17.15,-352840
152,-0.99,-0.07,-0.25,1.62,0.11,-11.14,-36663
153,-0.99,-0.03,-0.25,0.95,0.17,10.0,45441
154,-0.99,-0.07,-0.25,1.9,0.84,-23.69,51719
155,-0.98,-0.11,-0.26,1.36,0.25,-6.55,53391
156,-0.98,-0.17,-0.26,1.31,-0.17,-5.35,50610
157,-0.98,-0.09,-0.25,0.55,-0.53,21.16,48751
158,-0.99,-0.11,-0.26,0.4,-0.2,23.78,47017
159,-1.0,-0.04,-0.25,2.65,1.97,-49.92,49029
160,-0.98,-0.04,-0.24,1.36,1.49,-6.69,52033
161,-0.96,-0.1,-0.26,2.01,0.98,-24.82,51769
162,-0.83,-0.12,-0.24,7.22,2.52,-200.05,47444
163,-0.45,-0.67,-0.2,10.6,3.42,-250.75,51649
164,0.1,-0.94,-0.12,11.13,3.66,-250.75,53976
165,0.85,-0.77,-0.02,13.8,5.13,-250.75,34435
166,1.24,-0.43,0.04,12.81,4.95,-250.75,20408
