ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
1,0.99,0.02,0.01,2.16,-0.14,0.27,-193
2,0.99,0.02,0.02,1.82,0.12,0.29,-193
3,0.99,0.03,0.01,1.83,0.08,0.19,-193
4,0.99,0.03,0.02,2.03,0.36,0.26,-193
5,0.99,0.03,0.02,1.8,0.27,0.11,-193
6,0.99,0.02,0.01,1.94,0.01,0.14,-193
7,0.99,0.02,0.01,1.76,0.13,0.25,-193
8,0.99,0.02,0.02,2.4,0.01,0.23,-193
9,0.99,0.03,0.01,2.05,0.13,0.21,-193
10,0.99,0.03,0.01,2.19,0.01,0.13,-193
11,0.99,0.02,0.02,2.26,0.01,0.19,-193
12,1.0,0.03,0.02,2.11,0.2,0.12,-214
13,0.99,0.02,0.01,2.13,0.14,0.31,-214
14,0.99,0.03,0.02,1.95,0.38,0.21,-214
15,0.98,0.03,0.02,2.05,0.17,0.36,-214
16,0.99,0.02,0.02,1.95,0.1,0.27,-214
17,0.99,0.03,0.01,1.93,0.15,0.13,-214
18,0.99,0.03,0.01,1.88,0.07,0.24,-214
19,1.0,0.02,0.01,2.11,0.08,0.21,-214
20,0.99,0.02,0.01,2.03,0.15,0.44,-214
21,0.99,0.02,0.02,2.15,0.15,0.24,-214
22,1.0,0.02,0.01,1.98,-0.01,0.25,-214
23,0.99,0.02,0.02,2.25,0.0,0.17,-214
24,0.99,0.02,0.02,2.07,0.05,0.18,-165
25,0.99,0.03,0.01,2.25,-0.02,0.14,-165
26,0.99,0.02,0.01,2.27,0.2,0.29,-165
27,0.99,0.03,0.01,2.34,-0.07,0.33,-165
28,0.99,0.03,0.01,2.11,-0.17,0.23,-165
29,0.99,0.03,0.02,1.76,0.11,0.17,-165
30,0.99,0.03,0.02,2.08,0.22,0.21,-165
31,0.99,0.02,0.02,1.97,-0.11,0.27,-165
32,0.99,0.03,0.02,1.81,0.08,0.33,-165
33,0.99,0.03,0.01,1.94,0.11,0.38,-165
34,1.0,0.02,0.01,2.16,0.12,0.21,-165
35,0.99,0.02,0.01,2.29,0.07,0.2,-165
36,0.99,0.03,0.01,2.44,0.09,0.27,-165
37,1.0,0.02,0.02,2.12,0.11,0.27,-202
38,0.99,0.02,0.01,2.4,0.31,0.28,-202
39,0.99,0.03,0.01,2.31,0.01,0.34,-202
40,0.99,0.03,0.01,2.11,-0.13,0.21,-202
41,1.0,0.02,0.02,1.96,0.22,0.32,-202
42,0.99,0.03,0.02,2.05,-0.06,0.15,-202
43,0.99,0.03,0.01,2.68,-0.06,0.21,-202
44,0.99,0.02,0.02,2.48,0.08,0.12,-202
45,1.0,0.03,0.02,2.4,0.03,0.29,-202
46,0.99,0.02,0.02,2.31,-0.01,0.2,-202
47,0.99,0.03,0.01,2.4,0.02,0.34,-202
48,0.99,0.03,0.02,2.34,0.03,0.23,-202
49,0.99,0.03,0.02,2.17,0.09,0.24,-177
50,0.99,0.03,0.01,1.74,0.31,0.08,-177
51,0.99,0.02,0.02,2.12,0.3,0.3,-177
52,0.99,0.03,0.01,2.45,0.07,0.26,-177
53,0.99,0.02,0.01,2.47,-0.11,0.13,-177
54,0.99,0.03,0.02,2.13,0.15,0.3,-177
55,0.99,0.03,0.02,1.98,-0.08,0.15,-177
56,0.99,0.03,0.01,2.15,0.25,0.3,-177
57,0.99,0.02,0.01,2.02,0.0,0.19,-177
58,0.99,0.03,0.01,2.24,-0.11,0.25,-177
59,1.0,0.02,0.01,2.06,-0.01,0.21,-177
60,1.0,0.03,0.02,2.24,-0.05,0.18,-177
61,0.99,0.02,0.02,2.17,0.0,0.32,-188
62,1.0,0.03,0.01,2.12,0.02,0.34,-188
63,0.99,0.03,0.02,2.45,0.13,0.23,-188
64,0.99,0.02,0.02,2.36,0.02,0.24,-188
65,0.99,0.02,0.02,1.94,0.05,0.2,-188
66,0.99,0.02,0.02,2.24,0.02,0.43,-188
67,0.99,0.02,0.02,2.31,0.04,0.22,-188
68,0.99,0.03,0.01,2.31,0.11,0.38,-188
69,0.99,0.02,0.01,2.1,0.15,-0.01,-188
70,0.99,0.02,0.01,2.06,0.08,0.25,-188
71,1.0,0.02,0.01,2.32,0.18,0.11,-188
72,0.99,0.02,0.02,2.24,0.17,0.12,-188
73,0.99,0.03,0.02,1.98,-0.07,0.05,-188
74,1.0,0.02,0.0,2.31,-0.07,0.15,-180
75,0.99,0.02,0.01,2.66,0.1,0.15,-180
76,0.99,0.03,0.02,2.07,-0.02,0.27,-180
77,0.99,0.02,0.02,2.16,0.12,0.11,-180
78,0.99,0.02,0.01,1.86,-0.11,0.23,-180
79,0.99,0.02,0.02,2.39,0.34,0.19,-180
80,0.99,0.02,0.02,1.9,0.14,0.15,-180
81,0.99,0.03,0.01,2.09,0.21,0.26,-180
82,1.0,0.02,0.01,1.77,0.24,0.38,-180
83,0.99,0.03,0.01,2.18,0.08,0.21,-180
84,0.99,0.02,0.01,2.27,0.03,0.24,-180
85,0.99,0.03,0.01,2.03,0.08,0.13,-180
86,0.99,0.03,0.02,1.88,-0.11,0.21,-244
87,0.99,0.03,0.01,1.85,-0.08,0.25,-244
88,0.99,0.03,0.03,2.41,0.08,0.11,-244
89,0.99,0.02,0.01,2.4,0.16,0.19,-244
90,0.99,0.02,0.01,2.31,0.22,0.2,-244
91,0.99,0.03,0.02,2.26,0.08,0.24,-244
92,0.99,0.03,0.01,2.01,0.28,0.33,-244
93,0.99,0.02,0.02,2.11,0.05,0.02,-244
94,0.99,0.02,0.01,2.0,0.01,0.31,-244
95,0.99,0.03,0.01,2.14,-0.07,0.37,-244
96,1.0,0.03,0.01,2.15,-0.05,0.28,-244
97,0.99,0.03,0.01,2.05,0.05,0.23,-244
98,0.99,0.02,0.01,2.02,0.15,0.31,-270
99,1.0,0.03,0.02,2.07,-0.02,0.29,-270
100,0.99,0.02,0.01,2.04,0.12,0.16,-270
101,0.99,0.03,0.01,1.9,0.17,0.36,-270
102,0.99,0.02,0.01,1.85,-0.12,0.28,-270
103,0.99,0.02,0.02,2.19,0.16,0.2,-270
104,1.0,0.02,0.01,2.23,-0.02,0.18,-270
105,0.99,0.03,0.02,2.07,0.06,0.3,-270
106,0.99,0.03,0.01,1.76,0.25,0.23,-270
107,0.99,0.02,0.02,2.15,-0.08,0.26,-270
108,1.0,0.03,0.01,1.83,0.11,0.28,-270
109,0.99,0.03,0.02,2.18,-0.11,0.33,-270
110,0.99,0.02,0.01,2.05,0.25,0.37,-270
111,0.99,0.03,0.01,2.14,0.06,0.31,-222
112,0.99,0.03,0.03,2.18,0.02,0.27,-222
113,0.99,0.03,0.02,2.39,-0.05,0.17,-222
114,0.99,0.02,0.01,2.21,0.23,0.0,-222
115,0.99,0.03,0.03,2.12,0.0,0.31,-222
116,0.99,0.03,0.02,1.97,0.11,0.24,-222
117,0.99,0.02,0.02,1.91,0.21,0.28,-222
118,0.99,0.03,0.02,1.98,0.06,0.23,-222
119,0.99,0.03,0.02,1.64,0.14,0.26,-222
120,0.99,0.03,0.01,2.15,0.19,0.3,-222
121,0.99,0.03,0.02,2.02,0.07,0.25,-222
122,0.99,0.02,0.02,1.84,0.15,0.25,-222
123,1.0,0.02,0.01,1.92,-0.06,0.22,-213
124,1.0,0.02,0.01,1.83,0.11,0.09,-213
125,0.99,0.03,0.01,1.95,-0.07,0.14,-213
126,0.99,0.02,0.01,1.68,0.23,0.3,-213
127,0.99,0.03,0.02,1.94,-0.11,0.26,-213
128,0.98,0.03,0.02,1.83,0.2,0.13,-213
129,0.99,0.03,0.01,2.02,0.07,0.34,-213
130,0.99,0.02,0.01,2.51,0.17,0.27,-213
131,0.99,0.02,0.01,2.21,0.03,0.31,-213
132,1.0,0.03,0.02,2.01,-0.05,0.34,-213
133,0.99,0.02,0.01,2.24,0.11,0.36,-213
134,0.99,0.03,0.0,2.54,0.12,0.15,-213
135,0.98,0.03,0.01,2.47,0.1,0.24,-213
136,0.99,0.02,0.01,2.0,0.08,0.32,-304
137,0.99,0.03,0.01,2.0,0.21,0.26,-304
138,0.99,0.02,0.02,1.89,0.0,0.21,-304
139,1.0,0.02,0.01,2.08,-0.01,0.21,-304
140,0.99,0.03,0.02,2.09,-0.02,0.28,-304
141,0.99,0.02,0.02,1.77,0.19,0.21,-304
142,0.99,0.03,0.02,2.09,-0.1,0.25,-304
143,0.99,0.03,0.01,2.0,0.05,0.3,-304
144,1.0,0.02,0.02,2.44,0.31,0.21,-304
145,0.99,0.03,0.01,2.25,-0.17,0.29,-304
146,0.99,0.02,0.02,2.16,0.24,0.24,-304
147,1.0,0.02,0.01,1.97,-0.17,0.29,-304
148,0.99,0.03,0.01,2.35,0.21,0.04,-242
149,0.99,0.03,0.01,2.2,0.09,0.28,-242
150,0.99,0.02,0.02,2.34,-0.02,0.18,-242
151,0.99,0.02,0.01,1.95,0.19,0.4,-242
152,0.99,0.03,0.01,1.84,0.09,0.3,-242
153,1.0,0.03,0.01,2.25,0.22,0.01,-242
154,0.99,0.02,0.03,2.05,0.15,0.15,-242
155,0.99,0.03,0.02,1.68,-0.1,0.15,-242
156,1.0,0.02,0.01,2.12,0.13,0.29,-242
157,0.98,0.03,0.0,2.37,0.24,0.37,-242
158,0.99,0.03,0.01,2.51,-0.03,0.28,-242
159,0.98,0.03,0.01,2.48,0.23,0.29,-242
160,0.99,0.03,0.01,2.44,0.24,0.13,-154
161,0.99,0.02,0.02,1.86,0.12,0.26,-154
162,0.99,0.03,0.02,2.14,-0.09,0.26,-154
163,1.0,0.04,-0.0,2.55,0.14,0.25,-154
164,0.99,0.02,-0.01,2.14,0.34,0.13,-154
165,1.01,0.0,0.04,1.82,0.7,0.5,-154
166,0.99,0.04,0.0,2.28,0.49,-0.08,-154
167,1.0,0.02,0.01,2.26,0.02,0.21,-144
168,0.99,0.02,0.01,1.98,-0.23,0.34,-144
169,1.0,0.02,0.01,1.87,0.11,0.22,-144
170,0.99,0.03,0.01,1.89,0.26,0.44,-144
171,0.99,0.03,0.02,1.89,0.15,0.12,-144
172,0.99,0.02,0.01,2.04,0.24,0.18,-144
173,1.0,0.02,0.01,2.1,-0.06,0.45,-144
174,0.99,0.03,0.02,2.26,0.09,0.21,-144
175,0.99,0.02,0.01,2.49,0.05,0.23,-189
176,0.99,0.03,0.02,2.24,-0.15,0.08,-189
177,0.99,0.02,0.01,2.23,0.19,0.32,-189
178,0.99,0.02,0.0,1.88,-0.01,0.23,-189
179,0.99,0.03,0.02,2.06,0.05,0.18,-189
180,0.99,0.03,0.01,2.27,0.08,0.05,-189
181,0.99,0.03,0.02,1.92,-0.09,0.17,-189
182,0.99,0.03,0.01,1.79,0.21,0.23,-189
183,0.99,0.03,0.01,1.9,-0.03,0.24,-189
184,1.0,0.03,0.02,1.92,-0.08,0.32,-189
185,0.99,0.03,0.01,1.85,-0.22,0.25,-189
186,0.99,0.03,0.01,1.87,-0.03,0.21,-189
187,0.99,0.03,0.01,2.15,0.15,0.18,-189
188,1.0,0.03,0.01,1.73,-0.13,0.32,-248
189,0.99,0.03,0.01,1.99,0.12,0.27,-248
190,0.99,0.02,0.01,1.77,0.28,0.28,-248
191,0.99,0.02,0.02,1.86,0.15,0.18,-248
192,0.99,0.03,0.02,1.86,0.11,0.2,-248
193,0.99,0.03,0.01,1.95,0.04,0.24,-248
194,0.99,0.03,0.01,2.18,0.3,0.35,-248
195,0.99,0.03,0.01,2.31,0.0,0.38,-248
196,0.98,0.03,0.02,1.78,0.11,0.24,-248
197,0.99,0.02,0.01,2.22,-0.02,0.18,-248
198,0.99,0.02,0.02,2.1,0.2,0.25,-248
199,0.99,0.03,0.02,2.27,0.12,0.29,-248
200,0.99,0.03,0.02,2.08,0.24,0.4,-299
201,1.0,0.02,0.02,1.97,-0.05,0.33,-299
202,0.99,0.02,0.02,1.84,-0.01,0.27,-299
203,0.99,0.03,0.01,2.4,0.11,-0.03,-299
204,0.99,0.11,0.02,2.3,0.02,-3.27,-299
205,1.0,0.11,0.01,2.43,0.38,-6.54,-299
206,0.99,0.08,0.01,2.28,-0.11,-7.66,-299
207,0.99,0.04,0.01,2.08,0.31,-7.63,-299
208,0.98,0.02,0.02,2.23,0.01,-6.26,-299
209,0.99,0.03,0.01,2.28,0.43,-4.95,-299
210,1.0,0.02,0.02,2.79,0.14,-3.18,-299
211,0.99,0.02,0.01,2.21,0.12,-1.39,-299
212,0.99,0.01,0.02,2.35,0.15,0.13,-255
213,0.99,0.04,0.01,2.11,0.18,0.17,-255
214,1.0,0.03,0.02,2.27,-0.08,0.0,-255
215,0.99,0.12,0.03,2.23,0.57,-3.18,-255
216,1.0,0.16,0.0,2.37,-0.02,-11.12,-255
217,0.98,0.18,0.01,2.78,0.7,-20.73,-255
218,0.98,0.09,0.02,2.87,-0.02,-26.65,-255
219,0.99,-0.03,0.02,2.82,0.5,-25.92,-255
220,0.99,-0.09,0.03,2.53,0.66,-19.53,-255
221,0.97,-0.31,0.0,2.05,-0.89,-1.95,-255
222,0.99,0.13,0.02,1.99,0.62,-0.73,-255
223,0.97,0.01,0.07,2.31,0.03,-1.79,-255
224,1.02,0.06,-0.05,2.12,-0.33,-1.72,-255
225,0.98,0.06,0.04,2.38,0.58,-0.8,97
226,1.03,0.01,0.03,2.08,0.56,-1.35,97
227,0.98,0.04,-0.06,1.79,-0.11,-0.73,97
228,0.98,0.09,0.06,1.88,1.4,-2.3,97
229,0.99,0.04,-0.01,2.02,-0.24,-3.29,97
230,0.98,0.08,0.02,2.18,0.61,-3.76,97
231,0.97,0.03,0.03,2.32,-0.35,-4.11,97
232,1.01,0.05,0.01,2.27,0.37,-3.35,97
233,0.99,0.06,-0.0,2.34,0.0,-3.95,97
234,1.0,0.06,0.0,1.99,0.65,-4.53,97
235,0.99,0.08,0.01,1.98,0.82,-6.04,97
236,0.98,0.06,0.01,2.15,0.42,-6.78,97
237,0.99,0.05,0.03,2.34,0.39,-6.37,472
238,0.98,0.04,0.02,2.1,0.19,-5.48,472
239,0.99,0.07,0.03,2.47,0.07,-5.07,472
240,0.98,0.06,0.03,2.43,0.02,-5.61,472
241,0.98,0.06,0.01,2.2,-0.12,-6.05,472
242,1.0,0.07,0.01,2.27,-0.08,-6.52,472
243,1.0,0.06,0.01,2.36,0.29,-7.05,472
244,1.0,0.07,0.02,2.4,0.45,-7.48,472
245,0.98,0.08,0.02,2.05,0.5,-7.84,472
246,0.98,0.07,0.02,2.35,0.15,-8.09,472
247,0.99,0.06,0.01,2.34,0.51,-8.45,472
248,1.0,0.07,0.02,2.54,0.47,-8.73,472
249,0.99,0.07,0.02,2.43,0.15,-9.14,141
250,0.99,0.08,0.01,2.55,0.2,-9.8,141
251,0.98,0.08,0.02,2.56,0.24,-10.12,141
252,0.99,0.08,0.02,2.48,0.21,-10.6,141
253,0.99,0.08,0.03,2.34,0.02,-10.99,141
254,0.99,0.08,0.02,2.31,0.11,-11.19,141
255,0.99,0.08,0.01,2.6,0.07,-11.7,141
256,0.99,0.08,0.01,2.71,-0.05,-12.23,141
257,0.99,0.08,0.01,2.59,0.37,-12.64,141
258,0.97,0.08,0.01,2.33,-0.09,-13.5,141
259,1.0,0.09,0.02,2.46,0.36,-13.75,141
260,1.0,0.09,0.01,2.15,0.29,-14.2,141
261,0.99,0.1,0.01,2.43,0.55,-14.95,141
262,0.98,0.1,0.02,2.33,0.08,-15.39,1002
263,1.02,0.14,0.02,2.45,0.08,-16.03,1002
264,1.02,0.11,0.03,2.6,0.57,-16.78,1002
265,0.99,0.1,-0.01,2.64,0.56,-17.03,1002
266,0.97,0.1,0.03,2.61,0.16,-17.95,1002
267,0.98,0.11,0.02,2.74,0.47,-18.44,1002
268,0.98,0.11,0.01,2.78,0.34,-19.02,1002
269,0.99,0.11,0.01,2.63,0.63,-19.46,1002
270,1.0,0.11,0.02,2.54,0.19,-20.08,1002
271,0.98,0.12,0.02,2.6,0.56,-20.35,1002
272,0.99,0.12,0.03,2.76,0.46,-20.97,1002
273,0.99,0.12,-0.0,2.69,0.33,-21.55,1002
274,0.99,0.14,0.02,2.6,0.71,-22.27,1923
275,0.98,0.14,-0.0,2.7,0.11,-22.82,1923
276,0.98,0.13,0.03,2.79,0.77,-23.85,1923
277,0.98,0.14,-0.0,2.82,0.11,-24.55,1923
278,0.99,0.14,0.02,2.98,0.58,-25.06,1923
279,0.98,0.15,0.02,3.09,0.37,-25.7,1923
280,0.99,0.16,0.02,2.63,0.31,-26.53,1923
281,0.98,0.15,0.02,2.6,0.4,-27.27,1923
282,0.99,0.16,0.03,3.18,0.45,-27.85,1923
283,0.99,0.16,0.0,3.21,0.18,-28.51,1923
284,0.98,0.17,0.02,2.93,0.57,-29.15,1923
285,0.98,0.17,0.01,3.08,0.26,-29.86,1923
286,0.99,0.18,0.03,2.78,0.49,-30.48,2869
287,0.98,0.18,0.02,3.07,0.47,-31.11,2869
288,0.99,0.19,0.01,2.9,0.46,-31.69,2869
289,0.98,0.18,0.02,2.89,0.56,-32.27,2869
290,0.98,0.19,0.03,3.2,0.64,-33.44,2869
291,0.98,0.2,0.0,3.04,0.43,-34.15,2869
292,0.97,0.2,0.03,2.84,0.89,-34.69,2869
293,0.97,0.2,0.01,3.14,0.53,-35.35,2869
294,0.97,0.2,0.02,3.46,0.68,-35.76,2869
295,0.97,0.21,0.01,3.21,0.62,-36.37,2869
296,0.97,0.22,0.02,2.88,0.69,-37.19,2869
297,0.98,0.23,0.01,2.76,0.77,-37.9,2869
298,0.97,0.23,0.02,2.87,0.88,-38.53,2869
299,0.97,0.24,0.02,3.15,0.66,-39.21,4351
300,0.97,0.25,0.01,3.2,0.75,-39.95,4351
301,0.96,0.24,0.03,3.11,0.92,-40.61,4351
302,0.97,0.25,0.02,3.31,0.57,-41.17,4351
303,0.96,0.26,0.02,3.11,0.74,-41.82,4351
304,0.96,0.26,0.02,3.07,0.97,-42.43,4351
305,0.96,0.27,0.01,3.3,0.86,-42.95,4351
306,0.96,0.28,0.01,3.26,0.59,-43.45,4351
307,0.95,0.29,0.01,3.26,0.97,-44.18,4351
308,0.96,0.29,0.02,3.4,0.8,-44.69,4351
309,0.95,0.29,0.01,3.39,0.78,-45.32,4351
310,0.95,0.31,0.01,3.21,0.71,-46.09,4351
311,0.95,0.3,0.01,3.55,0.56,-46.47,6324
312,0.96,0.31,0.01,3.57,0.59,-47.08,6324
313,0.95,0.32,0.01,3.74,0.85,-47.4,6324
314,0.94,0.32,0.01,3.57,0.66,-47.87,6324
315,0.94,0.34,0.02,3.24,0.76,-48.34,6324
316,0.94,0.35,0.02,3.51,0.73,-49.02,6324
317,0.94,0.35,0.02,3.46,0.72,-49.82,6324
318,0.93,0.35,0.01,3.45,0.63,-50.26,6324
319,0.93,0.36,0.01,3.93,0.47,-50.81,6324
320,0.93,0.36,0.0,3.7,0.6,-50.9,6324
321,0.92,0.36,0.01,3.53,0.82,-51.02,6324
322,0.93,0.38,0.0,3.63,0.37,-51.6,6324
323,0.93,0.38,0.02,3.77,0.7,-52.27,6324
324,0.92,0.4,0.01,3.66,0.83,-53.02,8501
325,0.92,0.4,0.02,3.69,0.51,-53.69,8501
326,0.92,0.41,0.01,3.63,0.54,-54.08,8501
327,0.91,0.4,0.01,3.89,0.49,-54.47,8501
328,0.91,0.41,0.02,3.82,0.6,-54.78,8501
329,0.91,0.43,0.01,3.64,0.81,-55.06,8501
330,0.89,0.43,-0.0,4.01,0.54,-55.61,8501
331,0.91,0.45,0.03,3.91,1.18,-56.66,8501
332,0.89,0.45,-0.0,4.12,0.85,-57.25,8501
333,0.9,0.45,0.01,3.95,0.76,-57.63,8501
334,0.89,0.46,-0.0,3.77,0.81,-57.75,8501
335,0.88,0.46,0.01,3.85,0.87,-58.05,8501
336,0.88,0.47,0.01,3.94,1.13,-58.4,11310
337,0.88,0.48,0.0,4.08,0.66,-59.11,11310
338,0.88,0.49,0.01,3.96,0.87,-59.77,11310
339,0.88,0.5,0.01,4.01,0.76,-60.4,11310
340,0.87,0.51,0.01,4.16,1.25,-61.17,11310
341,0.87,0.51,0.01,3.97,0.9,-61.41,11310
342,0.86,0.52,0.01,3.84,1.33,-61.83,11310
343,0.84,0.52,0.01,3.98,1.17,-62.03,11310
344,0.85,0.54,-0.0,3.94,1.2,-62.63,11310
345,0.84,0.54,0.01,4.03,1.11,-63.3,11310
346,0.83,0.55,0.0,3.97,0.97,-63.94,11310
347,0.84,0.56,0.01,3.98,1.14,-64.27,11310
348,0.83,0.56,0.01,4.19,1.42,-64.64,14527
349,0.82,0.57,0.0,4.09,1.34,-65.09,14527
350,0.82,0.57,-0.0,4.33,1.15,-65.55,14527
351,0.82,0.59,0.0,3.98,1.27,-66.06,14527
352,0.8,0.59,-0.0,4.1,1.28,-66.63,14527
353,0.8,0.61,-0.0,4.27,1.3,-67.11,14527
354,0.8,0.61,-0.0,4.59,1.4,-67.54,14527
355,0.78,0.62,-0.0,4.24,1.44,-68.06,14527
356,0.78,0.62,0.0,4.35,1.5,-68.26,14527
357,0.78,0.63,-0.01,4.86,1.34,-68.7,14527
358,0.77,0.65,0.0,4.37,1.29,-69.22,14527
359,0.77,0.65,-0.01,4.45,1.21,-69.6,14527
360,0.76,0.66,-0.01,4.36,1.35,-70.17,14527
361,0.76,0.66,-0.01,4.07,1.32,-70.57,17847
362,0.75,0.67,-0.01,4.62,1.4,-70.98,17847
363,0.74,0.68,-0.01,4.27,1.4,-71.56,17847
364,0.73,0.68,-0.02,4.11,1.51,-72.07,17847
365,0.73,0.7,-0.01,4.4,1.21,-72.6,17847
366,0.72,0.7,-0.0,4.29,1.13,-72.86,17847
367,0.71,0.72,-0.01,4.08,1.05,-73.51,17847
368,0.71,0.72,-0.02,4.34,1.04,-74.18,17847
369,0.69,0.72,-0.02,4.15,1.06,-74.6,17847
370,0.69,0.73,-0.03,4.59,1.02,-75.05,17847
371,0.69,0.74,-0.02,4.54,1.1,-75.44,17847
372,0.69,0.74,-0.02,4.4,0.85,-75.63,17847
373,0.68,0.77,-0.01,4.32,1.43,-76.45,21250
374,0.65,0.76,-0.03,4.53,1.25,-77.19,21250
375,0.65,0.77,-0.01,4.39,1.3,-78.03,21250
376,0.65,0.78,-0.02,4.25,1.27,-78.15,21250
377,0.64,0.78,-0.03,4.4,1.36,-79.04,21250
378,0.63,0.79,-0.02,4.35,0.85,-79.35,21250
379,0.62,0.79,-0.02,4.54,1.04,-79.9,21250
380,0.61,0.8,-0.03,4.18,0.85,-80.35,21250
381,0.6,0.81,-0.01,4.38,1.1,-81.18,21250
382,0.6,0.83,-0.03,4.2,1.18,-81.95,21250
383,0.58,0.83,-0.02,4.29,1.25,-82.95,21250
384,0.57,0.83,-0.03,4.39,0.52,-83.45,21250
385,0.57,0.84,-0.04,4.32,0.9,-84.09,24706
386,0.56,0.83,-0.02,4.56,0.76,-84.39,24706
387,0.54,0.85,-0.02,4.62,0.78,-84.79,24706
388,0.55,0.87,-0.03,4.83,1.43,-85.6,24706
389,0.54,0.86,-0.02,5.05,1.17,-86.32,24706
390,0.53,0.87,-0.03,4.74,1.6,-86.69,24706
391,0.52,0.87,-0.04,4.67,1.44,-87.87,24706
392,0.5,0.89,-0.04,4.83,1.44,-88.82,24706
393,0.49,0.88,-0.03,4.89,1.23,-89.23,24706
394,0.48,0.89,-0.03,4.86,1.28,-89.89,24706
395,0.46,0.91,-0.05,5.05,1.33,-90.56,24706
396,0.45,0.92,-0.04,4.91,1.46,-91.43,24706
397,0.45,0.92,-0.04,4.92,1.55,-92.15,24706
398,0.44,0.92,-0.05,5.0,1.78,-93.15,28391
399,0.42,0.92,-0.05,4.99,1.74,-93.67,28391
400,0.4,0.93,-0.07,5.27,1.12,-94.89,28391
401,0.4,0.93,-0.04,4.79,1.63,-95.28,28391
402,0.39,0.93,-0.05,4.66,1.27,-95.84,28391
403,0.37,0.95,-0.05,4.98,1.18,-96.82,28391
404,0.36,0.94,-0.06,5.1,1.17,-97.29,28391
405,0.35,0.97,-0.06,5.07,1.29,-98.55,28391
406,0.33,0.96,-0.06,5.23,1.51,-99.53,28391
407,0.33,0.97,-0.06,4.66,1.31,-99.76,28391
408,0.3,0.95,-0.06,4.93,1.27,-100.63,28391
409,0.3,0.99,-0.06,5.06,1.43,-101.47,28391
410,0.28,0.99,-0.09,4.93,1.05,-102.08,32074
411,0.27,0.99,-0.06,4.68,1.42,-103.39,32074
412,0.25,0.96,-0.07,5.14,0.98,-103.75,32074
413,0.24,0.99,-0.05,4.86,1.3,-104.46,32074
414,0.24,0.98,-0.08,5.27,1.44,-105.0,32074
415,0.21,0.99,-0.08,5.05,1.56,-105.71,32074
416,0.2,0.99,-0.09,5.17,1.6,-106.45,32074
417,0.18,0.99,-0.08,5.53,1.55,-106.77,32074
418,0.17,1.0,-0.08,5.17,1.6,-107.57,32074
419,0.15,1.0,-0.08,5.33,1.58,-107.98,32074
420,0.15,1.02,-0.08,5.42,1.79,-108.59,32074
421,0.13,1.01,-0.09,5.49,2.24,-109.39,32074
422,0.12,0.99,-0.07,5.54,2.47,-109.72,32074
